"","ACK_ID","PLAN_YEAR_BEGIN_DATE","PLAN_YEAR_END_DATE","PLAN_NAME","PLAN_EFFECTIVE_DATE","PLAN_TYPE","SPONSOR_NAME","SPONSOR_STATE","SPONSOR_EIN","BUSINESS_CODE","TOTAL_ACCBAL_PARTCP_BOY","TOTAL_ACCBAL_PARTCP_EOY","TOTAL_CONTRIB_PARTCP_BOY","TOTAL_CONTRIB_PARTCP_EOY","TOTAL_CONTRIB_EMPLR_BOY","TOTAL_CONTRIB_EMPLR_EOY","TOTAL_LOANS_BOY","TOTAL_LOANS_EOY","TOTAL_ASSETS_BOY","TOTAL_ASSETS_EOY","INDUSTRY_TITLE"
"4477","20241015115236NAL0028266241001","2023-01-01","2023-12-31","CHOICE SCHOOLS PROFIT SHARING PLAN","2003-01-01","2E2G2J2K2F2S2T3D","CHOICE SCHOOLS ASSOCIATES, LLC","MI",522113308,611000,1206,1149,1000,11396,22895,5268,511,605,16807267,20134432,"Educational services"
"4478","20241015112658NAL0016229859001","2023-01-01","2023-12-31","KOHLER CO. 401(K) SAVINGS PLAN FOR ADMINISTRATIVE ASSOCIATES","1984-08-01","2E2F2G2J2K2S2T","KOHLER CO. & SUBSIDIARIES","WI",390402810,339900,5956,5893,1235022,1391642,1249216,1077151,5265810,5681077,758219644,854045577,"Other miscellaneous manufacturing"
"4479","20241015120930NAL0014581795001","2023-01-01","2023-12-31","MERCHANTS FINANCIAL GROUP, INC. 401(K) SAVINGS PLAN","1987-01-01","2E2F2G2J2K2S2T","MERCHANTS FINANCIAL GROUP, INC.","MN",411504721,551111,599,572,53804,141992,27919,27645,318353,358231,51166994,60073091,"Offices of bank holding companies"
"4480","20241015121017NAL0057478322001","2023-01-01","2023-12-31","VICTORY RD 401(K) PLAN","2018-01-01","2E2F2G2J2K2S2T3D3H","ARK NATIONAL HOLDINGS LLC (D/B/A ARK BEHAVIORAL)","MA",832215221,621420,698,759,606,741,111816,252,113616,354219,7167975,9468061,"Outpatient mental health and substance abuse centers"
"4481","20241015121020NAL0056018194001","2023-01-01","2023-12-31","LUMITEX, LLC 401(K) PLAN","1995-01-01","2E2F2G2J2K2S2T3D","LUMITEX, LLC","OH",843879573,335100,121,117,16045,18831,4384,4986,73831,101250,6532306,7405573,"Electric lighting equipment manufacturing"
"4482","20241015121045NAL0049271712001","2023-01-01","2023-12-31","MESSERLI & KRAMER, P.A. SAVINGS & RETIREMENT PLAN","1986-01-01","2E2F2J2K2T","MESSERLI & KRAMER, P.A.","MN",411767334,541110,379,369,34840,30163,8271,186229,233384,255575,36003388,42423425,"Offices of lawyers"
"4483","20241015121050NAL0016337987001","2023-01-01","2023-12-31","INTEGRATED COMMUNITY ALTERNATIVES NETWORK, INC. 401(K) PROFIT SHARING PLAN & TRUST","1998-01-01","2E2F2G2J2K2T3D","INTEGRATED COMMUNITY ALTERNATIVES NETWORK, INC.","NY",161541078,621498,219,263,20986,22336,196945,265631,407974,313784,5778654,7708629,"All other outpatient care centers"
"4484","20241015124521NAL0029671841001","2023-01-01","2023-12-31","MEDICAL ASSETS HOLDING COMPANY, LLC 401(K) PROFIT SHARING TRUST","2002-01-01","2A2E3D2G2J2K2F2T","MEDICAL ASSETS HOLDING COMPANY, LLC","AR",710820452,551112,142,129,3704,43129,2553,8178,68373,87981,6073492,4477787,"Offices of other holding companies"
"4485","20241015122206NAL0014616003001","2023-01-01","2023-12-31","ASTRODYNE CORPORATION 401(K) PLAN","1997-01-01","2G2J2K2T3D2E2F","ASTRODYNE CORPORATION","NJ",43145157,334410,472,465,62913,66043,43973,18309,241259,394730,35048006,41732502,"Semiconductor and other electronic component manufacturing"
"4486","20241015131832NAL0029760545001","2023-01-01","2023-12-31","PYRAMID ADVISORS 401(K) PLAN","2000-09-01","2E2F2G2J2K2T3D","PYRAMID ADVISORS LIMITED PARTNERSHIP","MA",43505086,721110,2617,5555,96714,399689,25494,129762,1504252,2500407,99392435,203187772,"Hotels (except casino hotels) and motels"
"4487","20241015132855NAL0028577681001","2023-01-01","2023-12-31","KEYSTONE PEER REVIEW ORGANIZATION, INC. 401(K) CAPITAL ACCUMULATION PLAN","1985-10-01","2F2G2J2K2T3D","KEYSTONE PEER REVIEW ORGANIZATION, INC.","PA",232348176,541990,1263,1358,164559,226881,804599,959643,685635,908943,57139858,71821944,"All other professional, scientific, and technical services"
"4488","20241015135304NAL0028649121001","2023-01-01","2023-12-31","403(B) THRIFT PLAN OF COLUMBUS HOSPICE, INC.","1988-01-01","2G3D2J2K2E2S2T","COLUMBUS HOSPICE, INC.","GA",581385395,624100,197,210,36831,20718,15710,8280,242154,280101,9529726,11152871,"Individual and family services"
"4489","20241015135320NAL0014763251001","2023-01-01","2023-12-31","HEA CLINIC, P.A. 401(K) PLAN","1997-01-01","2A2E2F2G2J2K2S2T3D","HEA CLINIC, P.A. DBA HOUSTON EYE ASSOCIATES","TX",760512625,621111,670,719,45040,8883,2647258,2674866,619022,694000,55538866,61696243,"Offices of physicians (except mental health specialists)"
"4490","20241015135334NAL0028650481001","2023-01-01","2023-12-31","WESTERN MILLING LLC 401(K) PROFIT SHARING PLAN & TRUST","2001-01-01","2E2F2G2J2K2R2S2T3D3H","WESTERN MILLING LLC","CA",770543517,311110,521,558,79547,84609,36504,772253,1277015,1485059,47597123,54333375,"Animal food manufacturing"
